trial_id,position,was_clicked,n_fixations,total_dwell_ms,click_pos,entry_t,exit_t,min_dist,mean_dist,final_dist,retreat_dist,dwell_in_proximity_ms,mean_approach_velocity,max_approach_velocity,direction_changes,frac_decreasing,etype,four_class_label
p044-b6-t7,1,False,27,6068.0,9,1678289257234,1678289287692,111.82525625928797,391.6171897523928,244.63598220155825,132.81072594227027,2398.0,-8.672935532753355,602.2944078947368,3,0.46153846153846156,organic,not_approached
p044-b6-t7,2,False,3,554.0,9,1678289262625,1678289263972,124.14722165215579,291.31077763735266,124.14722165215579,0.0,554.0,48.1409685086156,50.14557338086718,0,1.0,organic,not_approached
p044-b6-t7,3,False,9,3029.0,9,1678289267154,1678289271073,169.4602826032477,225.8488221980415,197.57292342121212,28.112640817964433,2849.0,4.166666666666288,4.166666666666288,0,0.5,organic,not_approached
p044-b6-t7,4,False,6,1568.0,9,1678289268929,1678289272332,134.49983329249648,243.6393970802227,332.4751157862754,197.97528249377893,375.0,-3.333333333333144,-2.5,0,0.6,organic,not_approached
p044-b6-t7,5,False,4,1538.0,9,1678289272037,1678289273765,235.51689218173016,273.18664686836837,288.2767133025455,52.75982112081533,1538.0,23.75,23.75,0,0.6666666666666666,organic,not_approached
p044-b6-t7,6,False,5,1471.0,9,1678289274160,1678289293592,241.5907644469964,510.77661316390703,734.2833240650369,492.69255961804055,0,-51.45833333333371,-51.45833333333371,0,0.0,organic,not_approached
p044-b6-t7,7,False,24,5271.0,9,1678289274703,1678289291040,166.10525618590123,321.8682181537542,412.1690267951932,246.06377060929196,0,162.7991071428571,836.25,5,0.5217391304347826,organic,not_approached
p044-b6-t7,8,False,23,5381.0,9,1678289275641,1678289293111,122.56470165036433,241.6465156423188,202.64747716169575,80.08277551133142,1103.0,-3.15995983183484,23.363095238095184,2,0.5,native_ad,not_approached
p044-b6-t7,9,True,8,2633.0,9,1678289281482,1678289291811,195.51144058508183,259.8434414042364,272.1808692864661,76.66942870138425,1450.0,-7.083333333333712,-5.833333333333712,0,0.42857142857142855,native_ad,clicked
p044-b6-t8,0,False,60,10058.0,5,1678289306905,1678289329719,15.692071237764782,212.65889147578548,328.110069867241,312.41799862947624,9772.0,-6.844234809308327,69.67307692307699,5,0.423728813559322,dd_top,deferred
p044-b6-t8,1,False,45,9976.0,5,1678289310261,1678289343412,61.03125,360.90048601349315,980.2331355346033,919.2018855346033,621.0,6.681474764485448,229.68421052631584,4,0.5227272727272727,organic,deferred
p044-b6-t8,2,False,18,3998.0,5,1678289328862,1678289343505,181.02438694636223,330.63746538610405,817.1364635114504,636.1120765650882,2013.0,-41.25,-41.25,0,0.5294117647058824,organic,not_approached
